测量次序,1,2,3,4,5,平均值
d = (dᵢ - d₀) / mm,2.463,2.457,2.470,2.470,2.475,d̅ =
Δd = |(dᵢ - d₀) - d̅| / mm,,,,,,Δd̅ =
