V2_V,Dy_mm,Vd_V
600,-25,-20.3
600,-20,-16.3
600,-15,-12.0
600,-10,-8.1
600,-5,-4.0
600,0,0
600,5,3.9
600,10,7.7
600,15,11.5
600,20,15.5
600,25,19.4
800,-25,-26.9
800,-20,-21.7
800,-15,-16.1
800,-10,-10.6
800,-5,-4.9
800,0,0
800,5,5.6
800,10,10.9
800,15,15.9
800,20,21.1
800,25,26.3
