时间/s,1,2,3,4,5,平均值
t₁,6.41,6.34,6.44,6.36,6.42,6.39
Δt₁,0.02,-0.05,0.05,-0.03,0.03,0.00400000000000000008326672684688674053177237510681
t₂,6.64,6.57,6.56,6.68,6.65,6.62
Δt₂,0.02,-0.05,-0.06,0.06,0.03,-0.00000000000000000069388939039072287628336868030148
t₃,7.12,7.06,7.00,7.04,7.07,7.06
Δt₃,0.06,0.0,-0.06,-0.02,0.01,-0.00200000000000000004163336342344337026588618755341
t₄,7.49,7.50,7.42,7.44,7.47,7.46
Δt₄,0.03,0.04,-0.04,-0.02,0.01,0.00399999999999999921590498885848319332581013441086
