待改装表头格数,改装电流表读数 I_X/mA,标准电流表读数_减小格数方向 I_0/mA,标准电流表读数_增大格数方向 I_0/mA,平均值,误差 ΔI/mA (ΔI = I_0 - I_X)
20.0,0.2,0.1889,0.1960,0.1925,-0.0076
40.0,0.4,0.3849,0.3870,0.3860,-0.0141
60.0,0.6,0.5871,0.5950,0.5910,-0.0090
80.0,0.8,0.7968,0.8123,0.8045,0.0045
100.0,1.0,1.0134,1.0158,1.0146,0.0146
