V2_V,I_mA,Db_mm
600,10,1.3
600,20,2.9
600,30,4.2
600,40,5.6
600,50,6.8
600,60,8.4
600,70,10.1
600,80,11.5
600,90,12.8
600,100,14.5
800,10,0.8
800,20,2.2
800,30,3.5
800,40,4.9
800,50,5.5
800,60,6.7
800,70,7.9
800,80,9.2
800,90,10.8
800,100,12.2
